Date,Price,Open,High,Low,Vol.,Change %
3/13/18,89.7,89.88,90.1,89.57,0,-0.19
3/12/18,89.87,90.06,90.17,89.81,23.38K,-0.21
3/9/18,90.06,90.17,90.36,89.97,25.55K,-0.11
3/8/18,90.16,89.58,90.22,89.42,31.83K,0.61
3/7/18,89.61,89.49,89.75,89.33,23.59K,0.02
3/6/18,89.59,89.92,90.03,89.47,32.81K,-0.5
3/5/18,90.04,89.83,90.19,89.65,24.45K,0.14
3/2/18,89.91,90.2,90.26,89.83,25.82K,-0.41
3/1/18,90.28,90.66,90.89,90.16,39.78K,-0.3
2/28/18,90.55,90.31,90.65,90.25,24.71K,0.3
2/27/18,90.28,89.67,90.44,89.62,29.72K,0.55
2/26/18,89.79,89.88,90,89.42,20.83K,-0.02
2/23/18,89.81,89.7,89.99,89.69,16.56K,0.17
2/22/18,89.66,90.06,90.17,89.56,24.08K,-0.28
2/21/18,89.91,89.67,90.06,89.49,23.07K,0.3
2/20/18,89.64,89.17,89.72,89.16,17.88K,0.71
2/19/18,89.01,89,89.36,88.86,11.42K,0
2/16/18,89.01,88.5,89.15,88.15,26.17K,0.58
2/15/18,88.5,88.89,88.89,88.44,27.69K,-0.56
2/14/18,89,89.59,90.02,88.83,39.24K,-0.66
2/13/18,89.59,90.06,90.07,89.49,20.99K,-0.57
2/12/18,90.1,90.25,90.31,89.95,19.21K,-0.25
