Date	Price
3/21/13	"1,613.80"
3/22/13	"1,607.80"
3/20/13	"1,607.50"
3/27/13	"1,603.00"
3/25/13	"1,599.30"
3/28/13	"1,598.30"
3/29/13	"1,598.30"
4/1/13	"1,598.30"
3/26/13	"1,598.00"
4/2/13	"1,583.50"
4/9/13	"1,577.30"
4/8/13	"1,575.00"
4/10/13	"1,575.00"
4/3/13	"1,574.80"
4/5/13	"1,568.00"
4/11/13	"1,565.00"
4/4/13	"1,546.50"
4/12/13	"1,535.50"
4/26/13	"1,471.50"
5/2/13	"1,469.30"
5/3/13	"1,469.30"
5/6/13	"1,469.30"
4/30/13	"1,469.00"
5/8/13	"1,468.00"
4/29/13	"1,467.50"
5/9/13	"1,465.50"
5/1/13	"1,454.80"
4/25/13	"1,451.00"
5/7/13	"1,444.30"
5/14/13	"1,433.80"
5/13/13	"1,430.80"
4/24/13	"1,428.50"
5/10/13	"1,426.50"
4/22/13	"1,424.50"
8/28/13	"1,419.50"
8/27/13	"1,419.30"
5/30/13	"1,413.50"
5/15/13	"1,410.00"
5/22/13	"1,408.50"
4/23/13	"1,408.00"
8/29/13	"1,407.80"
4/19/13	"1,405.50"
6/5/13	"1,404.00"
6/3/13	"1,402.50"
6/6/13	"1,400.00"
6/4/13	"1,399.50"
9/3/13	"1,399.50"
4/15/13	"1,395.00"
8/30/13	"1,394.80"
5/31/13	"1,394.50"
4/18/13	"1,393.80"
9/2/13	"1,392.30"
4/17/13	"1,392.00"
6/14/13	"1,391.30"
5/24/13	"1,390.30"
5/27/13	"1,390.30"
9/4/13	"1,390.00"
9/9/13	"1,390.00"
9/6/13	"1,387.00"
6/7/13	"1,386.00"
6/13/13	"1,385.00"
9/5/13	"1,385.00"
3/14/14	"1,385.00"
6/17/13	"1,384.80"
6/10/13	"1,383.30"
6/12/13	"1,382.80"
5/29/13	"1,382.50"
5/16/13	"1,381.00"
5/23/13	"1,380.50"
4/16/13	"1,380.00"
3/17/14	"1,378.50"
8/23/13	"1,377.50"
8/26/13	"1,377.50"
5/28/13	"1,376.50"
8/22/13	"1,375.50"
6/11/13	"1,374.30"
6/19/13	"1,372.80"
8/20/13	"1,372.50"
8/16/13	"1,369.30"
5/17/13	"1,368.80"
3/13/14	"1,368.80"
6/18/13	"1,366.80"
7/6/16	"1,366.30"
3/12/14	"1,366.00"
9/19/13	"1,365.50"
8/19/13	"1,365.00"
9/11/13	"1,363.80"
8/2/16	"1,363.80"
8/21/13	"1,363.00"
8/4/16	"1,362.80"
10/28/13	"1,361.00"
5/21/13	"1,360.80"
8/3/16	"1,358.90"
9/10/13	"1,358.30"
7/11/16	"1,357.10"
7/7/16	"1,356.70"
3/18/14	"1,355.80"
8/11/16	"1,355.00"
1/25/18	"1,355.00"
5/20/13	"1,354.80"
10/30/13	"1,354.80"
7/8/16	"1,354.30"
1/24/18	"1,353.70"
1/26/18	"1,353.20"
2/15/18	"1,352.50"
8/12/16	"1,352.20"
2/16/18	"1,352.10"
7/4/16	"1,350.80"
7/5/16	"1,350.80"
8/18/16	"1,350.10"
8/1/16	"1,349.70"
3/3/14	"1,349.50"
9/20/13	"1,349.30"
10/29/13	"1,349.30"
9/7/16	"1,348.40"
10/25/13	"1,347.80"
8/10/16	"1,347.70"
2/19/18	"1,346.60"
8/19/16	"1,346.40"
3/11/14	"1,346.30"
9/8/17	"1,346.30"
3/6/14	"1,345.30"
1/31/18	"1,345.10"
1/30/18	"1,344.90"
10/24/13	"1,344.80"
3/10/14	"1,344.00"
8/16/16	"1,344.00"
1/29/18	"1,343.90"
9/7/17	"1,343.50"
8/17/16	"1,343.40"
9/8/16	"1,343.40"
7/13/16	"1,342.80"
7/12/16	"1,342.40"
7/29/16	"1,342.00"
8/23/16	"1,342.00"
7/28/16	"1,341.80"
2/1/18	"1,341.40"
8/12/13	"1,341.00"
9/27/13	"1,341.00"
8/9/16	"1,341.00"
9/26/16	"1,340.50"
8/5/16	"1,340.40"
7/10/14	"1,340.30"
7/1/16	"1,340.00"
2/20/18	"1,339.90"
8/15/16	"1,339.40"
1/15/18	"1,339.30"
9/22/16	"1,339.10"
2/25/14	"1,339.00"
9/23/16	"1,338.70"
3/19/14	"1,338.00"
9/6/17	"1,337.90"
9/6/16	"1,337.30"
3/5/14	"1,337.00"
8/8/16	"1,336.80"
2/14/18	"1,336.30"
3/21/14	"1,336.00"
8/22/16	"1,335.90"
1/17/18	"1,335.70"
9/5/17	"1,335.60"
3/7/14	"1,335.30"
7/24/13	"1,335.00"
7/11/14	"1,335.00"
1/19/18	"1,335.00"
2/24/14	"1,334.80"
3/4/14	"1,334.80"
7/18/16	"1,334.70"
9/11/17	"1,334.20"
1/16/18	"1,333.90"
2/5/18	"1,333.60"
7/23/13	"1,333.50"
2/26/18	"1,333.50"
1/23/18	"1,333.40"
9/4/17	"1,333.10"
9/26/13	"1,333.00"
10/22/13	"1,333.00"
1/22/18	"1,332.60"
2/27/14	"1,332.30"
1/18/18	"1,332.20"
2/26/14	"1,331.80"
2/6/18	"1,331.40"
3/6/18	"1,331.40"
10/23/13	"1,331.30"
2/2/18	"1,331.20"
7/26/13	"1,331.00"
7/19/16	"1,330.90"
9/9/16	"1,330.90"
2/21/18	"1,330.50"
7/29/13	"1,329.80"
8/15/13	"1,329.80"
10/8/13	"1,329.50"
3/7/18	"1,329.40"
7/27/16	"1,329.00"
8/13/13	"1,328.50"
2/22/18	"1,328.40"
9/12/13	"1,328.00"
2/23/18	"1,328.00"
9/13/17	"1,327.60"
2/17/14	"1,327.50"
7/1/14	"1,327.50"
8/24/16	"1,327.30"
7/22/13	"1,327.00"
3/20/14	"1,327.00"
7/15/16	"1,327.00"
9/27/16	"1,327.00"
1/12/18	"1,326.80"
8/14/13	"1,326.50"
9/30/13	"1,326.50"
2/28/14	"1,326.50"
7/2/14	"1,326.50"
9/12/17	"1,326.50"
9/5/16	"1,326.40"
9/21/16	"1,326.10"
7/25/13	"1,326.00"
4/14/14	"1,325.80"
2/27/18	"1,325.80"
2/13/18	"1,325.40"
9/2/16	"1,324.70"
2/7/18	"1,324.70"
6/27/16	"1,324.60"
9/12/16	"1,324.60"
9/14/17	"1,324.60"
7/30/13	"1,324.20"
9/16/13	"1,324.00"
10/31/13	"1,324.00"
9/13/16	"1,323.70"
7/14/16	"1,323.60"
10/7/13	"1,323.50"
2/21/14	"1,323.30"
1/11/18	"1,323.10"
9/23/13	"1,323.00"
7/8/14	"1,323.00"
7/26/16	"1,323.00"
9/15/17	"1,322.90"
9/25/13	"1,322.80"
7/9/14	"1,322.80"
9/28/16	"1,322.50"
9/30/16	"1,322.50"
2/12/18	"1,322.30"
3/2/18	"1,322.30"
9/14/16	"1,321.80"
6/29/16	"1,321.50"
8/25/16	"1,321.30"
7/21/16	"1,321.20"
3/8/18	"1,321.00"
2/18/14	"1,320.80"
6/30/16	"1,320.80"
7/22/16	"1,320.80"
3/9/18	"1,320.60"
11/4/13	"1,320.50"
2/19/14	"1,320.50"
4/10/14	"1,320.50"
9/1/17	"1,320.40"
3/5/18	"1,320.40"
2/14/14	"1,320.00"
1/8/18	"1,320.00"
1/10/18	"1,319.80"
10/17/13	"1,319.30"
7/4/14	"1,319.30"
11/6/13	"1,319.00"
8/26/16	"1,318.80"
8/29/16	"1,318.80"
8/29/17	"1,318.70"
9/13/13	"1,318.50"
6/24/14	"1,318.50"
8/30/16	"1,318.20"
9/29/16	"1,318.10"
4/11/14	"1,318.00"
2/28/18	"1,317.90"
10/21/13	"1,317.50"
6/27/14	"1,317.50"
7/3/14	"1,317.50"
1/5/18	"1,317.20"
6/25/14	"1,316.80"
10/18/13	"1,316.50"
2/20/14	"1,316.30"
10/3/13	"1,316.00"
7/20/16	"1,315.90"
8/12/14	"1,315.80"
